t,S,E,I,R
0,19980,0,20,0
1,19972,8,15,5
2,19964,13,18,5
3,19950,25,18,7
4,19935,36,20,9
5,19917,43,29,11
6,19884,67,35,14
7,19844,93,43,20
8,19803,108,63,26
9,19746,134,81,39
10,19667,182,100,51
11,19570,228,143,59
12,19453,278,183,86
13,19283,376,234,107
14,19099,465,294,142
15,18863,573,388,176
16,18543,738,498,221
17,18155,939,624,282
18,17657,1169,802,372
19,16993,1499,1043,465
20,16203,1884,1309,604
21,15245,2310,1685,760
22,14105,2781,2125,989
23,12859,3267,2608,1266
24,11446,3789,3149,1616
25,9970,4210,3793,2027
26,8508,4516,4461,2515
27,6998,4807,5095,3100
28,5645,4780,5830,3745
29,4450,4628,6386,4536
30,3357,4413,6822,5408
31,2582,3907,7205,6306
32,1946,3420,7386,7248
33,1473,2920,7386,8221
34,1118,2489,7205,9188
35,868,2046,6938,10148
36,720,1576,6686,11018
37,566,1292,6220,11922
38,496,1037,5715,12752
39,443,852,5261,13444
40,400,683,4825,14092
41,358,529,4382,14731
42,347,425,3921,15307
43,363,354,3546,15737
44,371,306,3180,16143
45,389,255,2827,16529
46,407,218,2540,16835
47,426,193,2269,17112
48,450,162,1995,17393
49,473,147,1774,17606
50,511,133,1563,17793
51,545,124,1393,17938
52,593,109,1237,18061
53,649,94,1100,18157
54,679,98,967,18256
55,739,85,847,18329
56,785,78,749,18388
57,829,74,657,18440
58,872,76,597,18455
59,909,81,544,18466
60,947,67,494,18492
61,995,62,444,18499
62,1050,61,403,18486
63,1095,66,378,18461
64,1146,67,321,18466
65,1206,51,300,18443
66,1269,46,273,18412
67,1326,39,229,18406
68,1386,39,217,18358
69,1444,43,191,18322
70,1497,38,174,18291
71,1545,36,164,18255
72,1589,34,143,18234
73,1665,35,130,18170
74,1720,26,133,18121
75,1773,22,120,18085
76,1820,27,107,18046
77,1876,21,103,18000
78,1930,29,96,17945
79,1969,31,87,17913
80,2015,33,77,17875
81,2068,30,76,17826
82,2128,29,76,17767
83,2173,27,72,17728
84,2234,25,62,17679
85,2275,20,60,17645
86,2331,17,56,17596
87,2390,20,50,17540
88,2447,14,47,17492
89,2501,14,40,17445
90,2553,15,34,17398
91,2592,14,35,17359
92,2644,15,33,17308
93,2709,16,30,17245
94,2772,11,35,17182
95,2840,10,32,17118
96,2900,12,29,17059
97,2942,14,29,17015
98,2989,13,30,16968
99,3033,13,30,16924
100,3077,12,29,16882
101,3134,10,33,16823
102,3189,13,30,16768
103,3241,13,27,16719
104,3290,14,25,16671
105,3337,17,20,16626
106,3378,15,26,16581
107,3415,18,25,16542
108,3459,19,23,16499
109,3507,15,23,16455
110,3560,13,23,16404
111,3607,11,27,16355
112,3652,9,30,16309
113,3690,13,27,16270
114,3736,16,26,16222
115,3793,12,28,16167
116,3829,13,30,16128
117,3873,13,30,16084
118,3909,18,31,16042
119,3946,19,28,16007
120,3985,18,32,15965
121,4028,21,34,15917
122,4071,25,36,15868
123,4117,22,37,15824
124,4160,19,39,15782
125,4200,18,35,15747
126,4243,18,33,15706
127,4292,22,37,15649
128,4327,19,37,15617
129,4354,17,40,15589
130,4404,14,38,15544
131,4429,18,33,15520
132,4463,19,30,15488
133,4510,19,33,15438
134,4556,12,40,15392
135,4585,19,38,15358
136,4623,25,35,15317
137,4668,22,38,15272
138,4700,28,37,15235
139,4749,24,40,15187
140,4799,25,40,15136
141,4841,28,42,15089
142,4877,29,41,15053
143,4909,31,46,15014
144,4948,31,53,14968
145,4981,46,53,14920
146,5001,46,60,14893
147,5029,49,64,14858
148,5067,49,71,14813
149,5103,48,73,14776
150,5137,49,73,14741
151,5154,62,78,14706
152,5187,63,82,14668
153,5218,68,83,14631
154,5234,71,90,14605
155,5262,76,85,14577
156,5291,67,98,14544
157,5312,63,97,14528
158,5346,70,93,14491
159,5364,64,99,14473
160,5395,61,104,14440
161,5425,75,104,14396
162,5440,79,107,14374
163,5454,75,117,14354
164,5471,80,122,14327
