t,S_mean,E_mean,I_mean,R_mean
0,19980.0,0.0,20.0,0.0
1,19964.666666666668,15.333333333333334,16.333333333333332,3.6666666666666665
2,19948.333333333332,26.666666666666668,18.333333333333332,6.666666666666667
3,19933.0,35.333333333333336,22.666666666666668,9.0
4,19916.0,42.333333333333336,30.0,11.666666666666666
5,19888.333333333332,58.333333333333336,39.0,14.333333333333334
6,19851.666666666668,74.0,53.333333333333336,21.0
7,19798.666666666668,106.0,69.33333333333333,26.0
8,19738.333333333332,139.33333333333334,86.33333333333333,36.0
9,19659.333333333332,184.66666666666666,110.0,46.0
10,19557.666666666668,237.66666666666666,142.66666666666666,62.0
11,19430.666666666668,296.6666666666667,191.66666666666666,81.0
12,19262.0,382.6666666666667,244.0,111.33333333333333
13,19050.0,485.0,317.3333333333333,147.66666666666666
14,18769.333333333332,618.6666666666666,428.0,184.0
15,18406.333333333332,810.6666666666666,544.0,239.0
16,17983.333333333332,1001.0,712.3333333333334,303.3333333333333
17,17440.333333333332,1276.6666666666667,887.6666666666666,395.3333333333333
18,16752.333333333332,1600.6666666666667,1135.3333333333333,511.6666666666667
19,15922.0,1981.3333333333333,1435.3333333333333,661.3333333333334
20,14941.666666666666,2400.3333333333335,1800.3333333333333,857.6666666666666
21,13795.666666666666,2870.0,2240.0,1094.3333333333333
22,12517.333333333334,3352.0,2743.6666666666665,1387.0
23,11140.666666666666,3774.3333333333335,3337.6666666666665,1747.3333333333333
24,9662.333333333334,4212.666666666667,3923.0,2202.0
25,8144.666666666667,4544.666666666667,4606.0,2704.6666666666665
26,6716.0,4665.333333333333,5319.333333333333,3299.3333333333335
27,5377.666666666667,4670.333333333333,5957.333333333333,3994.6666666666665
28,4226.0,4507.666666666667,6496.0,4770.333333333333
29,3264.3333333333335,4194.333333333333,6911.666666666667,5629.666666666667
30,2479.0,3797.6666666666665,7181.0,6542.333333333333
31,1873.3333333333333,3292.6666666666665,7350.333333333333,7483.666666666667
32,1432.6666666666667,2831.6666666666665,7312.0,8423.666666666666
33,1108.0,2387.6666666666665,7116.0,9388.333333333334
34,868.0,1976.0,6829.666666666667,10326.333333333334
35,694.3333333333334,1603.6666666666667,6488.666666666667,11213.333333333334
36,587.3333333333334,1283.3333333333333,6067.666666666667,12061.666666666666
37,493.6666666666667,1042.0,5615.0,12849.333333333334
38,448.0,823.0,5166.0,13563.0
39,418.0,660.0,4706.0,14216.0
40,387.3333333333333,549.3333333333334,4238.0,14825.333333333334
41,383.0,443.0,3819.3333333333335,15354.666666666666
42,383.6666666666667,354.6666666666667,3425.6666666666665,15836.0
43,398.0,298.6666666666667,3062.0,16241.333333333334
44,411.6666666666667,263.0,2735.3333333333335,16590.0
45,420.0,226.33333333333334,2434.3333333333335,16919.333333333332
46,440.6666666666667,191.33333333333334,2159.6666666666665,17208.333333333332
47,472.3333333333333,160.33333333333334,1923.6666666666667,17443.666666666668
48,506.3333333333333,148.0,1708.6666666666667,17637.0
49,538.3333333333334,129.66666666666666,1521.0,17811.0
