t,S,E,I,R
0,19980,0,20,0
1,19958,22,16,4
2,19940,33,18,9
3,19923,42,26,9
4,19906,49,33,12
5,19878,63,44,15
6,19838,78,63,21
7,19775,125,76,24
8,19706,164,94,36
9,19615,213,126,46
10,19496,277,164,63
11,19357,331,228,84
12,19167,430,278,125
13,18928,535,371,166
14,18605,714,473,208
15,18208,916,603,273
16,17726,1127,792,355
17,17144,1429,980,447
18,16368,1769,1264,599
19,15502,2162,1587,749
20,14461,2594,1977,968
21,13223,3123,2426,1228
22,11844,3616,2997,1543
23,10393,4066,3579,1962
24,8935,4386,4225,2454
25,7437,4656,4940,2967
26,6033,4737,5606,3624
27,4822,4543,6261,4374
28,3760,4329,6703,5208
29,2923,3919,7063,6095
30,2233,3520,7245,7002
31,1703,2999,7320,7978
32,1336,2545,7221,8898
33,1048,2142,6943,9867
34,828,1802,6607,10763
35,665,1474,6265,11596
36,540,1188,5854,12418
37,467,970,5411,13152
38,446,765,4926,13863
39,406,625,4506,14463
40,366,517,4084,15033
41,364,416,3649,15571
42,383,325,3256,16036
43,398,275,2919,16408
44,423,239,2597,16741
45,434,209,2321,17036
46,450,180,2066,17304
47,474,145,1857,17524
48,503,137,1656,17704
49,536,121,1497,17846
50,579,106,1327,17988
51,625,99,1183,18093
52,652,104,1054,18190
53,691,95,930,18284
54,734,83,811,18372
55,772,84,702,18442
56,813,75,630,18482
57,857,77,552,18514
58,903,77,476,18544
59,955,69,413,18563
60,1011,69,379,18541
61,1071,65,330,18534
62,1105,59,312,18524
63,1152,65,285,18498
64,1209,51,273,18467
65,1269,47,251,18433
66,1313,44,212,18431
67,1362,44,196,18398
68,1405,47,184,18364
69,1450,48,169,18333
70,1502,37,173,18288
71,1549,40,158,18253
72,1593,31,157,18219
73,1657,33,146,18164
74,1723,28,138,18111
75,1785,27,128,18060
76,1844,31,108,18017
77,1896,31,95,17978
78,1945,22,89,17944
79,2010,21,89,17880
80,2066,22,74,17838
81,2110,19,73,17798
82,2166,16,77,17741
83,2211,19,65,17705
84,2265,20,60,17655
85,2317,20,62,17601
86,2361,18,60,17561
87,2410,17,53,17520
88,2465,19,53,17463
89,2513,19,51,17417
90,2564,19,51,17366
91,2615,20,43,17322
92,2671,21,44,17264
93,2717,18,45,17220
94,2754,17,40,17189
95,2793,18,44,17145
96,2824,23,38,17115
97,2879,24,34,17063
98,2917,19,38,17026
99,2973,16,31,16980
100,3008,17,30,16945
101,3059,15,30,16896
102,3113,14,27,16846
103,3160,15,29,16796
104,3204,14,24,16758
105,3251,14,26,16709
106,3300,11,23,16666
107,3363,12,20,16605
108,3412,9,18,16561
109,3460,7,19,16514
110,3512,12,16,16460
111,3548,10,19,16423
112,3592,10,18,16380
113,3639,12,20,16329
114,3674,10,18,16298
115,3721,10,19,16250
116,3769,11,14,16206
117,3817,8,16,16159
118,3867,9,14,16110
119,3916,9,11,16064
120,3964,9,11,16016
121,4024,9,10,15957
122,4072,4,16,15908
123,4121,7,15,15857
124,4154,9,14,15823
125,4195,9,12,15784
126,4234,10,13,15743
127,4267,9,14,15710
128,4316,10,15,15659
129,4359,12,13,15616
130,4400,11,16,15573
131,4443,12,18,15527
132,4483,11,18,15488
133,4521,13,19,15447
134,4572,15,20,15393
135,4615,14,23,15348
136,4644,14,28,15314
137,4690,12,28,15270
138,4730,12,28,15230
139,4767,20,22,15191
140,4810,23,22,15145
141,4853,16,27,15104
142,4886,12,32,15070
143,4924,17,34,15025
144,4948,20,35,14997
145,4987,18,38,14957
146,5013,24,37,14926
147,5036,29,42,14893
148,5065,31,48,14856
149,5105,29,47,14819
150,5137,32,51,14780
151,5162,41,50,14747
152,5185,39,58,14718
153,5218,30,65,14687
154,5241,35,60,14664
155,5274,35,65,14626
156,5300,30,69,14601
157,5334,36,64,14566
158,5351,41,60,14548
159,5387,37,65,14511
160,5424,35,64,14477
161,5445,44,66,14445
162,5470,42,70,14418
163,5499,38,73,14390
164,5517,42,75,14366
165,5536,43,83,14338
166,5564,41,87,14308
167,5582,55,79,14284
168,5619,48,86,14247
169,5632,64,81,14223
170,5652,63,94,14191
171,5664,64,98,14174
172,5684,65,105,14146
173,5714,68,104,14114
174,5725,77,107,14091
175,5742,91,107,14060
176,5762,101,115,14022
177,5753,113,135,13999
178,5775,99,148,13978
179,5786,103,154,13957
180,5785,109,155,13951
181,5793,106,174,13927
182,5813,101,188,13898
183,5809,108,193,13890
184,5797,129,197,13877
185,5787,146,200,13867
186,5775,150,215,13860
187,5762,160,233,13845
188,5744,167,232,13857
189,5755,168,236,13841
190,5733,175,253,13839
191,5703,170,282,13845
192,5693,179,296,13832
193,5658,211,307,13824
194,5633,209,330,13828
195,5613,226,342,13819
196,5582,240,361,13817
197,5540,249,372,13839
198,5506,251,388,13855
199,5475,268,391,13866
200,5431,276,424,13869
201,5396,272,459,13873
202,5346,272,485,13897
203,5287,287,506,13920
204,5224,314,529,13933
205,5152,336,550,13962
206,5077,354,572,13997
207,4998,371,595,14036
208,4911,387,612,14090
209,4837,386,645,14132
210,4764,403,668,14165
211,4665,415,713,14207
212,4576,450,724,14250
213,4507,446,755,14292
214,4432,442,766,14360
215,4335,467,797,14401
216,4257,456,828,14459
217,4167,473,843,14517
218,4095,460,864,14581
219,4003,486,859,14652
220,3940,460,885,14715
221,3853,470,905,14772
222,3767,472,933,14828
223,3674,480,930,14916
224,3597,466,961,14976
225,3509,470,963,15058
226,3424,467,957,15152
227,3368,443,973,15216
228,3323,435,962,15280
229,3274,431,956,15339
230,3228,422,945,15405
231,3170,432,918,15480
232,3116,429,919,15536
233,3068,403,924,15605
234,3023,412,911,15654
235,2954,428,887,15731
236,2926,402,886,15786
237,2885,412,860,15843
238,2845,379,871,15905
239,2804,382,863,15951
240,2806,357,827,16010
241,2798,344,793,16065
242,2778,315,777,16130
243,2768,295,754,16183
244,2768,298,728,16206
245,2752,295,729,16224
246,2764,298,703,16235
247,2769,297,681,16253
248,2769,279,683,16269
249,2805,261,657,16277
250,2799,267,630,16304
251,2811,264,620,16305
252,2805,271,587,16337
253,2804,251,604,16341
254,2800,259,574,16367
255,2829,237,586,16348
256,2864,236,534,16366
257,2881,233,525,16361
258,2908,211,537,16344
259,2942,197,502,16359
260,2972,195,504,16329
261,2990,190,485,16335
262,3024,192,481,16303
263,3050,194,471,16285
264,3094,185,468,16253
265,3109,188,481,16222
266,3126,194,473,16207
267,3165,197,455,16183
268,3215,170,440,16175
269,3255,168,398,16179
270,3290,158,405,16147
271,3327,154,404,16115
272,3356,156,386,16102
273,3388,158,376,16078
274,3427,165,368,16040
275,3457,172,351,16020
276,3485,179,342,15994
277,3517,165,360,15958
278,3548,163,353,15936
279,3588,156,358,15898
280,3626,165,365,15844
281,3663,160,374,15803
282,3699,165,376,15760
283,3730,176,369,15725
284,3779,171,356,15694
285,3813,164,358,15665
286,3835,170,351,15644
287,3872,181,344,15603
288,3909,161,353,15577
289,3946,162,360,15532
290,3998,171,345,15486
291,4010,196,344,15450
292,4064,191,353,15392
293,4098,179,364,15359
294,4142,188,359,15311
295,4158,198,366,15278
296,4184,207,364,15245
297,4222,206,375,15197
298,4255,197,380,15168
299,4292,192,382,15134
300,4313,210,388,15089
301,4329,206,407,15058
302,4339,221,404,15036
303,4343,235,407,15015
304,4375,237,413,14975
305,4386,241,423,14950
306,4386,238,434,14942
307,4400,239,431,14930
308,4406,237,454,14903
309,4427,241,457,14875
310,4430,249,456,14865
311,4426,266,462,14846
312,4434,261,480,14825
313,4432,267,491,14810
314,4423,273,503,14801
315,4426,280,506,14788
316,4415,291,522,14772
317,4414,312,541,14733
318,4409,316,559,14716
319,4386,336,565,14713
320,4367,332,587,14714
321,4354,322,614,14710
322,4325,340,628,14707
323,4313,335,635,14717
324,4268,348,652,14732
325,4239,362,658,14741
326,4235,347,680,14738
327,4221,339,685,14755
328,4197,345,688,14770
329,4182,378,694,14746
330,4140,385,718,14757
331,4104,401,726,14769
332,4079,397,756,14768
333,4057,385,750,14808
334,4042,393,763,14802
335,4018,383,770,14829
336,3976,408,763,14853
337,3953,409,778,14860
338,3928,389,800,14883
339,3873,421,787,14919
340,3848,405,805,14942
341,3842,407,798,14953
342,3837,413,782,14968
343,3807,405,791,14997
344,3795,403,792,15010
345,3789,398,771,15042
346,3773,395,774,15058
347,3766,359,814,15061
348,3748,367,798,15087
349,3705,371,808,15116
350,3691,388,803,15118
351,3676,408,800,15116
352,3658,404,806,15132
353,3633,400,793,15174
354,3620,381,807,15192
355,3599,384,787,15230
356,3562,375,792,15271
357,3541,380,764,15315
358,3542,376,750,15332
359,3540,375,741,15344
360,3528,374,751,15347
361,3526,389,718,15367
362,3532,369,733,15366
363,3542,348,752,15358
364,3533,328,752,15387
365,3505,353,740,15402
366,3497,344,731,15428
367,3470,346,733,15451
368,3472,349,728,15451
369,3467,355,711,15467
370,3486,340,729,15445
371,3476,357,717,15450
372,3479,336,747,15438
373,3475,353,741,15431
374,3475,364,739,15422
375,3479,358,753,15410
376,3462,366,739,15433
377,3449,349,745,15457
378,3445,339,745,15471
379,3449,317,768,15466
380,3439,327,758,15476
381,3440,335,753,15472
382,3414,341,752,15493
383,3431,340,723,15506
384,3447,316,727,15510
385,3462,327,704,15507
386,3441,343,713,15503
387,3449,312,719,15520
388,3468,309,707,15516
389,3485,314,678,15523
390,3472,325,684,15519
391,3479,316,677,15528
392,3493,304,675,15528
393,3513,288,681,15518
394,3528,288,653,15531
395,3550,292,626,15532
396,3555,306,605,15534
397,3567,293,608,15532
398,3580,278,618,15524
399,3594,281,604,15521
400,3585,279,602,15534
401,3610,295,589,15506
402,3642,273,601,15484
403,3654,272,607,15467
404,3655,268,609,15468
405,3679,260,604,15457
406,3686,263,591,15460
407,3707,254,586,15453
408,3754,240,581,15425
409,3757,253,581,15409
410,3772,252,596,15380
411,3782,282,567,15369
412,3788,284,589,15339
413,3790,294,595,15321
414,3796,289,601,15314
415,3814,283,620,15283
416,3815,285,623,15277
417,3829,291,621,15259
418,3836,308,607,15249
419,3839,303,624,15234
420,3836,301,617,15246
421,3838,302,626,15234
422,3851,303,628,15218
423,3861,307,637,15195
424,3834,325,658,15183
425,3853,335,648,15164
426,3872,324,679,15125
427,3855,330,653,15162
428,3860,337,658,15145
429,3836,345,671,15148
430,3825,339,682,15154
431,3812,349,683,15156
432,3812,350,690,15148
433,3791,359,694,15156
434,3776,365,699,15160
435,3761,379,706,15154
436,3764,382,705,15149
437,3767,358,734,15141
438,3721,382,754,15143
439,3716,354,788,15142
440,3672,383,777,15168
441,3645,391,769,15195
442,3614,414,750,15222
443,3594,416,761,15229
444,3554,408,790,15248
445,3514,403,795,15288
446,3485,419,800,15296
447,3455,385,820,15340
448,3441,387,815,15357
449,3433,384,798,15385
450,3434,368,771,15427
451,3441,329,778,15452
452,3402,360,751,15487
453,3410,344,732,15514
454,3411,351,709,15529
455,3409,368,697,15526
456,3422,351,713,15514
457,3423,353,695,15529
458,3421,350,690,15539
459,3438,321,695,15546
460,3449,327,674,15550
461,3447,339,654,15560
462,3458,312,676,15554
463,3464,299,672,15565
464,3452,311,675,15562
465,3447,329,671,15553
466,3454,324,669,15553
467,3461,320,675,15544
468,3460,304,668,15568
469,3476,273,672,15579
470,3463,294,663,15580
471,3496,286,655,15563
472,3499,275,664,15562
473,3487,291,652,15570
474,3479,303,636,15582
475,3468,299,649,15584
476,3508,282,646,15564
477,3512,288,631,15569
478,3513,282,634,15571
479,3504,293,625,15578
480,3526,294,616,15564
481,3522,299,623,15556
482,3537,292,627,15544
483,3537,284,637,15542
484,3543,283,639,15535
485,3552,293,614,15541
486,3550,290,631,15529
487,3562,305,612,15521
488,3587,296,610,15507
489,3593,285,614,15508
490,3600,273,608,15519
491,3608,258,599,15535
492,3600,278,587,15535
493,3611,276,593,15520
494,3610,274,581,15535
495,3619,279,573,15529
496,3633,285,562,15520
497,3631,299,548,15522
498,3637,283,562,15518
499,3670,265,575,15490
500,3696,272,569,15463
501,3708,268,586,15438
502,3717,275,586,15422
503,3708,309,570,15413
504,3737,300,579,15384
505,3740,300,586,15374
506,3758,303,574,15365
507,3762,298,564,15376
508,3785,299,570,15346
509,3799,288,578,15335
510,3805,292,570,15333
511,3813,285,574,15328
512,3830,288,574,15308
513,3842,277,569,15312
514,3857,284,552,15307
515,3866,277,563,15294
516,3882,288,564,15266
517,3874,300,563,15263
518,3854,319,573,15254
519,3851,319,586,15244
520,3866,332,578,15224
521,3877,331,600,15192
522,3850,342,632,15176
523,3847,349,652,15152
524,3857,330,642,15171
525,3856,323,637,15184
526,3854,337,637,15172
527,3858,312,644,15186
528,3851,320,658,15171
529,3841,326,656,15177
530,3827,325,650,15198
531,3823,345,645,15187
532,3823,346,658,15173
533,3799,343,660,15198
534,3784,352,664,15200
535,3778,338,682,15202
536,3771,345,688,15196
537,3761,357,656,15226
538,3729,355,687,15229
539,3743,339,697,15221
540,3738,342,680,15240
541,3727,315,700,15258
542,3713,331,694,15262
543,3723,322,708,15247
544,3707,337,700,15256
545,3705,346,689,15260
546,3712,340,694,15254
547,3721,337,689,15253
548,3704,367,690,15239
549,3701,351,715,15233
550,3700,345,742,15213
551,3686,338,745,15231
552,3672,336,745,15247
553,3667,329,734,15270
554,3672,317,731,15280
555,3661,343,724,15272
556,3638,348,737,15277
557,3608,351,738,15303
558,3612,344,739,15305
559,3605,346,715,15334
560,3613,330,737,15320
561,3607,323,725,15345
562,3627,317,715,15341
563,3621,339,719,15321
564,3617,339,702,15342
565,3649,333,707,15311
566,3656,330,717,15297
567,3655,341,698,15306
568,3659,331,719,15291
569,3662,335,711,15292
570,3645,347,726,15282
571,3653,338,732,15277
572,3647,341,733,15279
573,3632,331,721,15316
574,3623,336,706,15335
575,3601,364,715,15320
576,3598,356,710,15336
577,3608,347,705,15340
578,3616,346,705,15333
579,3621,338,709,15332
580,3619,351,708,15322
581,3622,340,700,15338
582,3622,356,671,15351
583,3635,346,687,15332
584,3652,347,699,15302
585,3660,344,682,15314
586,3678,348,667,15307
587,3667,325,697,15311
588,3671,331,693,15305
589,3643,370,685,15302
