t,S_mean,E_mean,I_mean,R_mean
0,19980.0,0.0,20.0,0.0
1,19967.333333333332,12.666666666666666,18.0,2.0
2,19949.333333333332,27.333333333333332,19.666666666666668,3.6666666666666665
3,19932.333333333332,36.666666666666664,25.0,6.0
4,19909.666666666668,48.666666666666664,33.0,8.666666666666666
5,19883.333333333332,62.0,40.0,14.666666666666666
6,19846.0,81.33333333333333,51.0,21.666666666666668
7,19793.0,109.66666666666667,69.33333333333333,28.0
8,19727.0,143.0,92.0,38.0
9,19644.333333333332,183.0,122.0,50.666666666666664
10,19543.333333333332,237.0,155.0,64.66666666666667
11,19413.666666666668,298.0,203.0,85.33333333333333
12,19246.333333333332,377.3333333333333,268.6666666666667,107.66666666666667
13,19010.0,505.6666666666667,342.6666666666667,141.66666666666666
14,18712.333333333332,661.0,440.0,186.66666666666666
15,18347.333333333332,848.3333333333334,561.0,243.33333333333334
16,17888.333333333332,1048.0,740.0,323.6666666666667
17,17330.0,1319.0,923.3333333333334,427.6666666666667
18,16633.666666666668,1643.3333333333333,1173.3333333333333,549.6666666666666
19,15808.333333333334,2017.3333333333333,1478.0,696.3333333333334
20,14822.666666666666,2427.0,1859.3333333333333,891.0
21,13651.666666666666,2909.3333333333335,2302.6666666666665,1136.3333333333333
22,12343.666666666666,3392.3333333333335,2809.3333333333335,1454.6666666666667
23,10944.0,3828.3333333333335,3403.6666666666665,1824.0
24,9463.666666666666,4179.333333333333,4090.6666666666665,2266.3333333333335
25,7979.0,4505.666666666667,4722.333333333333,2793.0
26,6568.333333333333,4649.333333333333,5376.0,3406.3333333333335
27,5303.666666666667,4624.666666666667,5970.333333333333,4101.333333333333
28,4130.333333333333,4479.333333333333,6529.666666666667,4860.666666666667
29,3179.3333333333335,4200.0,6895.666666666667,5725.0
30,2439.0,3777.0,7163.666666666667,6620.333333333333
31,1861.0,3310.3333333333335,7237.0,7591.666666666667
32,1414.0,2826.6666666666665,7210.333333333333,8549.0
33,1082.0,2368.0,7061.666666666667,9488.333333333334
34,843.3333333333334,1966.0,6766.666666666667,10424.0
35,670.3333333333334,1607.0,6413.666666666667,11309.0
36,560.6666666666666,1311.3333333333333,6004.0,12124.0
37,480.3333333333333,1045.3333333333333,5584.666666666667,12889.666666666666
38,430.3333333333333,824.3333333333334,5111.333333333333,13634.0
39,401.0,660.0,4670.0,14269.0
40,375.0,547.6666666666666,4241.0,14836.333333333334
41,364.0,450.6666666666667,3807.0,15378.333333333334
42,366.0,370.6666666666667,3420.3333333333335,15843.0
43,380.0,294.0,3082.6666666666665,16243.333333333334
44,390.3333333333333,255.33333333333334,2734.6666666666665,16619.666666666668
45,410.3333333333333,212.66666666666666,2444.0,16933.0
46,432.3333333333333,182.33333333333334,2173.3333333333335,17212.0
47,462.6666666666667,158.33333333333334,1910.3333333333333,17468.666666666668
48,492.0,142.66666666666666,1689.3333333333333,17676.0
49,526.0,134.66666666666666,1484.6666666666667,17854.666666666668
50,565.3333333333334,120.0,1327.0,17987.666666666668
51,599.3333333333334,113.33333333333333,1174.6666666666667,18112.666666666668
52,636.0,109.0,1034.6666666666667,18220.333333333332
53,678.6666666666666,97.66666666666667,927.0,18296.666666666668
54,724.6666666666666,80.66666666666667,826.6666666666666,18368.0
55,785.0,74.0,736.3333333333334,18404.666666666668
56,835.3333333333334,71.33333333333333,648.6666666666666,18444.666666666668
57,883.6666666666666,72.66666666666667,576.0,18467.666666666668
58,952.0,61.0,524.0,18463.0
59,994.0,54.666666666666664,475.0,18476.333333333332
60,1044.6666666666667,52.0,418.6666666666667,18484.666666666668
61,1096.3333333333333,56.333333333333336,370.6666666666667,18476.666666666668
62,1149.3333333333333,57.333333333333336,338.6666666666667,18454.666666666668
63,1205.0,52.666666666666664,306.3333333333333,18436.0
64,1256.0,47.333333333333336,277.6666666666667,18419.0
65,1306.0,42.333333333333336,256.3333333333333,18395.333333333332
66,1356.0,40.0,229.33333333333334,18374.666666666668
67,1407.6666666666667,43.0,207.0,18342.333333333332
68,1458.3333333333333,45.333333333333336,187.0,18309.333333333332
69,1501.6666666666667,43.0,172.33333333333334,18283.0
70,1557.6666666666667,41.333333333333336,156.66666666666666,18244.333333333332
71,1608.0,37.666666666666664,147.33333333333334,18207.0
72,1667.6666666666667,37.333333333333336,132.66666666666666,18162.333333333332
73,1715.6666666666667,37.666666666666664,118.33333333333333,18128.333333333332
74,1768.0,34.666666666666664,111.33333333333333,18086.0
75,1827.3333333333333,32.333333333333336,103.33333333333333,18037.0
76,1877.6666666666667,31.666666666666668,96.0,17994.666666666668
77,1925.0,28.0,91.0,17956.0
78,1984.0,24.666666666666668,85.0,17906.333333333332
79,2036.3333333333333,24.333333333333332,75.66666666666667,17863.666666666668
80,2092.0,22.0,71.33333333333333,17814.666666666668
81,2134.6666666666665,24.0,64.33333333333333,17777.0
82,2183.3333333333335,25.333333333333332,58.666666666666664,17732.666666666668
83,2236.6666666666665,22.333333333333332,55.0,17686.0
84,2292.3333333333335,21.0,54.0,17632.666666666668
85,2352.0,16.666666666666668,54.333333333333336,17577.0
86,2404.0,16.666666666666668,53.666666666666664,17525.666666666668
87,2451.6666666666665,18.666666666666668,48.666666666666664,17481.0
88,2495.6666666666665,15.0,47.0,17442.333333333332
89,2549.3333333333335,18.666666666666668,40.333333333333336,17391.666666666668
90,2600.6666666666665,18.0,40.333333333333336,17341.0
91,2650.0,16.333333333333332,37.0,17296.666666666668
92,2705.3333333333335,15.333333333333334,37.0,17242.333333333332
93,2765.3333333333335,15.333333333333334,35.333333333333336,17184.0
94,2815.3333333333335,17.333333333333332,32.666666666666664,17134.666666666668
95,2858.6666666666665,12.666666666666666,36.333333333333336,17092.333333333332
96,2912.6666666666665,12.333333333333334,36.666666666666664,17038.333333333332
