t,S,E,I,R
0,19980,0,20,0
1,19964,16,18,2
2,19947,29,20,4
3,19931,37,23,9
4,19912,46,32,10
5,19888,58,38,16
6,19856,72,48,24
7,19791,110,69,30
8,19735,130,100,35
9,19637,187,126,50
10,19546,232,155,67
11,19411,296,202,91
12,19242,378,271,109
13,19016,492,352,140
14,18674,675,462,189
15,18302,863,583,252
16,17813,1094,758,335
17,17228,1383,955,434
18,16520,1713,1190,577
19,15688,2069,1502,741
20,14663,2498,1902,937
21,13451,2979,2375,1195
22,12160,3434,2872,1534
23,10721,3898,3462,1919
24,9240,4255,4134,2371
25,7778,4524,4767,2931
26,6382,4632,5448,3538
27,5152,4566,6020,4262
28,3981,4390,6638,4991
29,3073,4090,6998,5839
30,2346,3696,7229,6729
31,1778,3253,7280,7689
32,1343,2766,7249,8642
33,1006,2346,7109,9539
34,784,1911,6837,10468
35,639,1507,6526,11328
36,526,1251,6089,12134
37,457,967,5677,12899
38,409,754,5161,13676
39,386,622,4675,14317
40,356,501,4260,14883
41,343,420,3797,15440
42,347,354,3400,15899
43,372,274,3072,16282
44,376,248,2723,16653
45,400,198,2443,16959
46,425,181,2178,17216
47,454,163,1932,17451
48,475,151,1692,17682
49,506,141,1501,17852
50,539,127,1363,17971
51,575,118,1205,18102
52,619,105,1075,18201
53,675,93,969,18263
54,722,78,852,18348
55,785,64,763,18388
56,843,59,660,18438
57,899,66,578,18457
58,968,58,516,18458
59,1018,56,480,18446
60,1077,54,415,18454
61,1116,52,373,18459
62,1164,53,343,18440
63,1221,46,308,18425
64,1275,43,275,18407
65,1327,41,248,18384
66,1376,32,223,18369
67,1426,34,204,18336
68,1487,43,182,18288
69,1531,42,167,18260
70,1592,40,153,18215
71,1636,34,145,18185
72,1695,39,133,18133
73,1736,42,128,18094
74,1781,38,121,18060
75,1844,35,113,18008
76,1896,39,97,17968
77,1948,32,97,17923
78,2007,28,89,17876
79,2061,23,85,17831
80,2103,23,79,17795
81,2147,20,72,17761
82,2194,25,62,17719
83,2243,21,58,17678
84,2304,20,58,17618
85,2361,18,59,17562
86,2418,18,57,17507
87,2461,22,56,17461
88,2500,18,56,17426
89,2556,22,48,17374
90,2613,21,46,17320
91,2659,18,43,17280
92,2721,15,48,17216
93,2774,13,49,17164
94,2830,18,41,17111
95,2877,15,43,17065
96,2931,9,42,17018
97,2988,10,42,16960
98,3019,14,37,16930
99,3067,16,37,16880
100,3129,16,38,16817
101,3187,17,39,16757
102,3232,14,39,16715
103,3265,18,38,16679
104,3308,17,33,16642
105,3354,16,26,16604
106,3394,13,27,16566
107,3430,15,26,16529
108,3471,17,24,16488
109,3516,15,26,16443
110,3551,16,28,16405
111,3600,15,27,16358
112,3654,13,30,16303
113,3701,11,33,16255
114,3750,9,31,16210
115,3794,11,34,16161
116,3837,15,32,16116
117,3885,12,36,16067
118,3945,8,35,16012
119,3996,7,31,15966
120,4044,9,28,15919
121,4097,7,27,15869
122,4134,9,22,15835
123,4176,5,25,15794
124,4230,10,24,15736
125,4264,10,26,15700
126,4307,12,24,15657
127,4339,8,30,15623
128,4377,9,26,15588
129,4422,8,25,15545
130,4472,8,24,15496
131,4511,7,25,15457
132,4546,8,24,15422
133,4583,7,26,15384
134,4623,8,25,15344
135,4667,8,22,15303
136,4716,7,19,15258
137,4751,6,22,15221
138,4785,8,21,15186
139,4826,11,22,15141
140,4858,11,23,15108
141,4891,11,24,15074
142,4932,13,25,15030
143,4983,15,20,14982
144,5017,16,20,14947
145,5059,19,21,14901
146,5117,19,19,14845
147,5145,19,21,14815
148,5182,21,23,14774
149,5212,23,24,14741
150,5260,21,23,14696
151,5289,18,26,14667
152,5324,17,32,14627
153,5352,17,39,14592
154,5403,17,37,14543
155,5436,29,38,14497
156,5463,33,38,14466
157,5494,28,45,14433
158,5515,31,54,14400
159,5549,36,54,14361
160,5578,44,51,14327
161,5601,42,64,14293
162,5643,52,62,14243
163,5681,50,67,14202
164,5713,57,68,14162
165,5735,64,72,14129
166,5761,65,83,14091
167,5789,59,94,14058
168,5807,68,98,14027
169,5831,70,103,13996
170,5847,68,117,13968
171,5869,72,117,13942
172,5880,76,122,13922
173,5874,93,126,13907
174,5904,90,140,13866
175,5923,95,145,13837
176,5918,115,152,13815
177,5924,107,172,13797
178,5916,125,175,13784
179,5918,129,187,13766
180,5915,139,196,13750
181,5911,144,212,13733
182,5902,153,215,13730
183,5900,144,235,13721
184,5874,168,248,13710
185,5873,172,262,13693
186,5841,193,275,13691
187,5808,214,298,13680
188,5786,201,323,13690
189,5736,221,336,13707
190,5718,223,349,13710
191,5675,234,377,13714
192,5617,273,381,13729
193,5568,263,432,13737
194,5525,275,451,13749
195,5477,295,465,13763
196,5438,295,482,13785
197,5392,306,511,13791
198,5318,312,532,13838
199,5243,334,562,13861
200,5190,321,591,13898
201,5100,356,623,13921
202,5000,380,651,13969
203,4918,406,662,14014
204,4829,409,697,14065
205,4770,416,697,14117
206,4677,439,714,14170
207,4603,422,752,14223
208,4510,453,781,14256
209,4407,471,788,14334
210,4311,476,804,14409
211,4237,472,821,14470
212,4137,486,838,14539
213,4058,481,887,14574
214,3966,494,917,14623
215,3877,490,945,14688
216,3797,493,958,14752
217,3712,494,981,14813
218,3628,483,1028,14861
219,3548,499,995,14958
220,3491,479,1005,15025
221,3406,482,1018,15094
222,3326,477,1021,15176
223,3263,460,1035,15242
224,3182,464,1011,15343
225,3133,455,1001,15411
226,3076,447,977,15500
227,3028,424,972,15576
228,2992,388,973,15647
229,2945,393,943,15719
230,2907,380,938,15775
231,2871,384,904,15841
232,2831,363,896,15910
233,2812,352,896,15940
234,2810,330,875,15985
235,2784,334,844,16038
236,2782,329,813,16076
237,2759,321,787,16133
238,2753,319,765,16163
239,2730,323,762,16185
240,2740,285,758,16217
241,2732,278,751,16239
242,2765,254,724,16257
243,2744,260,707,16289
244,2749,254,681,16316
245,2760,242,658,16340
246,2796,225,636,16343
247,2817,228,592,16363
248,2868,208,552,16372
249,2886,218,524,16372
250,2910,210,511,16369
251,2933,214,499,16354
252,2958,211,507,16324
253,2990,202,493,16315
254,3023,203,490,16284
255,3054,189,505,16252
256,3071,192,499,16238
257,3101,186,496,16217
258,3101,187,481,16231
259,3131,177,470,16222
260,3159,178,453,16210
261,3195,181,442,16182
262,3223,188,424,16165
263,3254,182,425,16139
264,3308,183,422,16087
265,3341,180,430,16049
266,3374,192,421,16013
267,3406,185,415,15994
268,3434,181,412,15973
269,3449,188,420,15943
270,3476,189,415,15920
271,3477,195,423,15905
272,3509,186,426,15879
273,3548,190,420,15842
274,3588,189,410,15813
275,3598,210,414,15778
276,3641,190,418,15751
277,3674,196,416,15714
278,3708,196,409,15687
279,3729,208,406,15657
280,3742,214,409,15635
281,3780,202,419,15599
282,3805,200,427,15568
283,3813,209,423,15555
284,3841,203,417,15539
285,3856,190,429,15525
286,3901,183,421,15495
287,3899,205,408,15488
288,3939,203,405,15453
289,3963,214,392,15431
290,3990,212,407,15391
291,4019,200,420,15361
292,4040,217,423,15320
293,4051,231,414,15304
294,4065,221,434,15280
295,4095,229,420,15256
296,4115,238,417,15230
297,4140,240,422,15198
298,4148,228,458,15166
299,4144,241,452,15163
300,4166,240,456,15138
301,4193,244,446,15117
302,4207,226,449,15118
303,4203,229,479,15089
304,4200,231,487,15082
305,4201,243,495,15061
306,4190,263,508,15039
307,4195,278,504,15023
308,4175,291,509,15025
309,4196,294,530,14980
310,4197,292,552,14959
311,4196,303,558,14943
312,4197,310,565,14928
313,4183,308,591,14918
314,4180,307,607,14906
315,4146,333,592,14929
316,4136,335,607,14922
317,4120,325,637,14918
318,4090,328,639,14943
319,4058,333,635,14974
320,4041,322,676,14961
321,4030,329,681,14960
322,4012,328,687,14973
323,3994,334,687,14985
324,3976,365,661,14998
325,3974,348,698,14980
326,3973,354,714,14959
327,3951,380,700,14969
328,3928,377,718,14977
329,3884,391,746,14979
330,3860,382,759,14999
331,3829,387,763,15021
332,3802,395,745,15058
333,3764,408,735,15093
334,3742,403,774,15081
335,3716,407,773,15104
336,3704,388,802,15106
337,3685,403,807,15105
338,3673,391,828,15108
339,3623,418,841,15118
340,3576,433,839,15152
341,3554,444,818,15184
342,3512,438,831,15219
343,3504,416,856,15224
344,3480,418,846,15256
345,3474,408,855,15263
346,3482,385,857,15276
347,3476,398,830,15296
348,3426,403,847,15324
349,3405,380,851,15364
350,3391,370,835,15404
351,3404,373,815,15408
352,3380,392,821,15407
353,3377,395,832,15396
354,3360,386,844,15410
355,3365,384,835,15416
356,3336,411,830,15423
357,3331,392,832,15445
358,3319,385,847,15449
359,3336,380,826,15458
360,3353,381,823,15443
361,3315,395,846,15444
362,3318,410,843,15429
363,3310,383,849,15458
364,3283,395,845,15477
365,3295,373,854,15478
366,3298,362,862,15478
367,3301,357,841,15501
368,3298,371,821,15510
369,3299,362,799,15540
370,3302,333,810,15555
371,3290,353,799,15558
372,3280,365,783,15572
373,3282,351,778,15589
374,3267,353,779,15601
375,3268,359,759,15614
376,3295,345,763,15597
377,3323,334,749,15594
378,3317,328,748,15607
379,3344,301,752,15603
380,3341,310,748,15601
381,3345,310,750,15595
382,3345,308,731,15616
383,3338,317,726,15619
384,3368,317,708,15607
385,3381,311,709,15599
386,3370,335,698,15597
387,3380,332,711,15577
388,3378,339,719,15564
389,3393,340,697,15570
390,3387,365,704,15544
391,3414,346,714,15526
392,3403,349,716,15532
393,3424,357,719,15500
394,3402,365,714,15519
395,3397,354,720,15529
396,3395,347,717,15541
397,3396,342,724,15538
398,3429,330,730,15511
399,3442,326,702,15530
400,3450,304,703,15543
401,3452,329,659,15560
402,3462,344,649,15545
403,3482,336,633,15549
404,3509,319,636,15536
405,3530,304,628,15538
406,3544,297,635,15524
407,3568,293,620,15519
408,3599,301,616,15484
409,3619,290,618,15473
410,3655,279,622,15444
411,3661,301,621,15417
412,3679,284,628,15409
413,3679,288,616,15417
414,3697,290,635,15378
415,3699,303,631,15367
416,3714,310,621,15355
417,3701,333,620,15346
418,3698,347,629,15326
419,3700,340,633,15327
420,3688,335,637,15340
421,3693,320,633,15354
422,3698,323,636,15343
423,3689,332,627,15352
424,3676,352,629,15343
425,3660,377,634,15329
426,3679,342,667,15312
427,3674,341,680,15305
428,3645,351,680,15324
429,3639,343,694,15324
430,3621,346,686,15347
431,3643,330,693,15334
432,3651,316,702,15331
433,3654,317,693,15336
434,3654,316,709,15321
435,3631,330,696,15343
436,3616,350,688,15346
437,3625,330,687,15358
438,3612,336,693,15359
439,3618,331,700,15351
440,3610,332,692,15366
441,3616,328,692,15364
442,3601,326,715,15358
443,3601,350,714,15335
444,3609,332,727,15332
445,3600,341,726,15333
446,3595,349,718,15338
447,3580,346,723,15351
448,3544,363,712,15381
449,3545,359,715,15381
450,3532,365,704,15399
451,3522,352,708,15418
452,3516,332,730,15422
453,3546,310,730,15414
454,3523,303,744,15430
455,3516,304,753,15427
456,3503,324,736,15437
457,3491,312,745,15452
458,3479,323,731,15467
459,3484,336,712,15468
460,3477,336,699,15488
461,3471,331,701,15497
462,3465,317,706,15512
463,3460,318,712,15510
464,3467,317,707,15509
465,3466,315,684,15535
466,3474,327,661,15538
467,3475,328,648,15549
468,3473,325,660,15542
469,3501,292,664,15543
470,3505,302,655,15538
471,3523,283,669,15525
472,3529,302,639,15530
473,3522,307,640,15531
474,3534,309,656,15501
475,3538,301,655,15506
476,3516,318,661,15505
477,3527,300,664,15509
478,3521,296,662,15521
479,3513,304,653,15530
480,3514,303,650,15533
481,3525,284,651,15540
482,3531,299,627,15543
483,3531,290,628,15551
484,3547,286,628,15539
485,3570,269,640,15521
486,3580,279,621,15520
487,3578,287,606,15529
488,3595,272,603,15530
489,3613,284,582,15521
490,3623,280,582,15515
491,3640,282,585,15493
492,3641,282,589,15488
493,3655,276,595,15474
494,3679,279,596,15446
495,3685,279,617,15419
496,3688,267,616,15429
497,3687,301,593,15419
498,3707,285,612,15396
499,3722,281,604,15393
500,3743,285,597,15375
501,3736,307,603,15354
502,3748,294,609,15349
503,3773,296,596,15335
504,3790,304,614,15292
505,3804,278,619,15299
506,3784,309,605,15302
507,3783,307,614,15296
508,3794,315,617,15274
509,3800,306,613,15281
510,3819,306,593,15282
511,3819,309,602,15270
512,3803,305,602,15290
513,3776,314,611,15299
514,3790,315,619,15276
515,3789,321,620,15270
516,3758,355,629,15258
517,3766,349,632,15253
518,3743,334,645,15278
519,3741,337,644,15278
520,3747,338,643,15272
521,3750,325,663,15262
522,3735,331,664,15270
523,3745,328,672,15255
524,3726,331,661,15282
525,3701,322,672,15305
526,3712,308,671,15309
527,3721,288,690,15301
528,3726,307,678,15289
529,3733,303,685,15279
530,3729,322,685,15264
531,3725,325,679,15271
532,3736,327,676,15261
533,3765,307,676,15252
534,3775,329,648,15248
535,3767,334,664,15235
536,3742,348,672,15238
537,3746,345,679,15230
538,3748,328,692,15232
539,3758,315,707,15220
540,3744,347,682,15227
541,3749,333,694,15224
542,3766,339,688,15207
543,3794,319,678,15209
544,3789,323,680,15208
545,3790,311,692,15207
546,3778,354,678,15190
547,3758,371,673,15198
548,3753,373,677,15197
549,3736,366,673,15225
550,3739,362,687,15212
551,3744,361,693,15202
552,3748,375,716,15161
553,3727,360,737,15176
554,3718,370,745,15167
555,3735,343,742,15180
556,3717,365,745,15173
557,3747,351,744,15158
558,3735,355,742,15168
559,3730,362,742,15166
560,3729,349,752,15170
561,3720,350,751,15179
562,3712,358,754,15176
563,3713,376,728,15183
564,3733,358,722,15187
565,3739,364,713,15184
566,3735,356,723,15186
567,3739,348,725,15188
568,3718,370,718,15194
569,3720,370,730,15180
570,3702,374,755,15169
571,3687,398,754,15161
572,3679,379,760,15182
573,3654,385,779,15182
574,3640,382,759,15219
575,3633,369,769,15229
576,3603,360,789,15248
577,3582,360,799,15259
578,3571,360,798,15271
579,3545,375,803,15277
580,3530,369,812,15289
581,3540,356,813,15291
582,3528,388,788,15296
583,3513,391,810,15286
584,3466,424,814,15296
585,3447,409,826,15318
586,3430,406,841,15323
587,3440,396,819,15345
588,3410,404,829,15357
589,3415,400,844,15341
590,3397,405,851,15347
591,3398,401,840,15361
592,3416,390,829,15365
593,3414,368,839,15379
594,3398,376,855,15371
595,3383,375,861,15381
596,3366,383,854,15397
597,3370,382,839,15409
598,3362,376,824,15438
599,3342,380,814,15464
600,3363,378,799,15460
601,3386,364,819,15431
602,3403,347,813,15437
603,3419,333,809,15439
604,3437,330,798,15435
605,3422,339,800,15439
606,3444,343,774,15439
607,3445,333,787,15435
608,3444,331,773,15452
609,3441,328,773,15458
610,3455,316,787,15442
611,3493,305,768,15434
612,3489,331,762,15418
613,3483,329,759,15429
614,3484,346,744,15426
615,3483,349,725,15443
616,3503,332,730,15435
617,3495,340,725,15440
618,3496,343,724,15437
619,3501,348,711,15440
620,3497,355,707,15441
621,3502,339,727,15432
622,3531,316,741,15412
623,3522,320,733,15425
624,3525,341,723,15411
625,3524,326,730,15420
626,3520,333,720,15427
627,3523,334,697,15446
628,3530,323,700,15447
629,3545,305,690,15460
630,3535,316,689,15460
631,3539,317,689,15455
632,3566,307,686,15441
633,3583,311,675,15431
634,3603,312,670,15415
635,3615,297,643,15445
636,3625,291,642,15442
637,3641,281,662,15416
638,3649,295,650,15406
639,3683,293,651,15373
640,3672,312,630,15386
641,3663,326,617,15394
642,3658,350,618,15374
643,3667,334,625,15374
644,3670,311,660,15359
645,3677,330,648,15345
646,3697,338,646,15319
647,3727,326,656,15291
648,3699,348,653,15300
649,3708,350,649,15293
650,3719,342,664,15275
651,3734,315,693,15258
652,3735,326,696,15243
653,3728,319,703,15250
654,3745,320,688,15247
655,3743,313,710,15234
656,3711,343,702,15244
657,3730,346,680,15244
658,3746,360,667,15227
659,3744,356,688,15212
660,3746,355,679,15220
661,3724,367,695,15214
662,3731,350,695,15224
663,3706,369,672,15253
664,3688,382,659,15271
665,3687,370,678,15265
666,3677,351,689,15283
667,3673,368,683,15276
668,3706,352,683,15259
669,3670,350,688,15292
670,3684,337,699,15280
671,3664,362,697,15277
672,3663,362,701,15274
673,3660,360,696,15284
674,3654,346,720,15280
675,3642,332,749,15277
676,3663,332,737,15268
677,3664,341,728,15267
678,3641,339,740,15280
679,3626,341,745,15288
680,3619,352,732,15297
681,3618,338,733,15311
682,3608,354,722,15316
683,3614,338,714,15334
684,3619,321,732,15328
685,3636,304,734,15326
686,3662,299,702,15337
687,3649,308,700,15343
688,3624,327,700,15349
689,3615,337,704,15344
690,3598,335,702,15365
691,3625,338,677,15360
692,3611,337,681,15371
693,3600,337,677,15386
694,3592,334,684,15390
695,3590,333,694,15383
696,3599,329,715,15357
697,3607,320,718,15355
698,3617,308,720,15355
699,3609,320,692,15379
700,3613,323,692,15372
701,3633,307,685,15375
702,3641,302,667,15390
703,3632,323,667,15378
704,3627,308,675,15390
705,3622,326,647,15405
706,3618,331,653,15398
707,3613,341,652,15394
708,3663,323,661,15353
709,3670,316,674,15340
710,3683,322,666,15329
711,3695,325,670,15310
712,3684,329,670,15317
713,3655,352,672,15321
714,3655,353,644,15348
715,3670,333,662,15335
716,3653,352,679,15316
717,3654,342,712,15292
718,3652,329,730,15289
719,3662,324,714,15300
720,3668,335,700,15297
721,3658,355,682,15305
722,3676,340,698,15286
723,3681,328,727,15264
724,3683,332,727,15258
725,3660,359,732,15249
726,3658,369,728,15245
727,3660,359,748,15233
728,3656,356,764,15224
729,3613,379,775,15233
730,3630,386,753,15231
